Energy_a5,Coefficient_of_Variance_a5,Energy_d5,Coefficient_of_Variance_d5,Energy_d4,Coefficient_of_Variance_d4,Energy_d3,Coefficient_of_Variance_d3,InterQuartile,MedianDeviation,Detection
-0.819989367845852,0.0387592068130238,-0.577681872441048,-0.0293595274629304,-0.608246945708907,0.0400457240645242,-0.520457742867725,-0.0486559060687994,-1.0859148400679,-1.09459688067482,Non-Seizure
-0.765124193080654,0.0830719396566566,-0.577796494240021,0.025752238965588,-0.608964926752157,0.173070031888816,-0.53027938988453,0.0168477456103747,-0.98880558315016,-1.03072204698788,Non-Seizure
-0.752022722191768,0.0321545626466403,-0.578087396255948,-0.0467373441070784,-0.609922514645306,-0.0131387107354805,-0.576977131390934,-0.0353821333433133,-1.10427343618915,-1.13452745123786,Non-Seizure
-0.824558973596101,0.0375744748845195,-0.578461201137143,0.00848031016783673,-0.609673070744036,-0.0815511688948957,-0.566148628006768,-0.063142786622022,-1.16595096282557,-1.20695540737973,Non-Seizure
-0.827201532139111,0.0437050338150473,-0.578768503635277,-0.0283811040186615,-0.608093745225421,0.0758318883732258,-0.535681923386477,-0.0346958910216513,-1.0892953395912,-1.12201934960063,Non-Seizure
-0.817344220938512,0.0392170457846776,-0.579097908942202,-0.0375769283237432,-0.609401805813243,0.00533297576171727,-0.573507213867733,-0.0661319251416411,-1.28464005461391,-1.31725644895986,Non-Seizure
-0.837380452001561,0.0305662214367448,-0.579106697243472,0.0220996538107239,-0.609916606937389,0.0408706052956043,-0.566704563725176,-0.0351110720168027,-1.2748151816303,-1.28616378495144,Non-Seizure
-0.845450517029232,0.0139415381540849,-0.579357482413839,-0.0246046280052434,-0.609784115538722,0.027041802613245,-0.577662890641941,-0.0440642183015372,-1.33391799242115,-1.37783546666156,Non-Seizure
-0.81557658170621,0.0182499115631566,-0.579520424188192,-0.0311727399297979,-0.607988239851235,0.0591486152993734,-0.570679287261664,-0.0417542423483422,-1.19574410332432,-1.25218168226858,Non-Seizure
-0.817855705506616,0.0350463976745714,-0.579703786712923,-0.0276886504991068,-0.606143850795351,0.158740145636239,-0.462465746388539,-0.0896721113075759,-1.02616740233485,-1.09678875829608,Non-Seizure
-0.757764269010353,0.0413547031890499,-0.579690783361448,-0.0401732588302647,-0.605467970197789,2.16720819871233,-0.515159438915809,-0.0584023691129408,-1.07689575076202,-1.10614183608723,Non-Seizure
-0.828490069953768,-0.0246634348786148,-0.579521070435365,-0.0306469636483398,-0.609376153178081,0.0586130780524312,-0.574683346500648,-0.0659110258018547,-1.29462418837148,-1.30856253436576,Non-Seizure
