Energy_a5,Coefficient_of_Variance_a5,Energy_d5,Coefficient_of_Variance_d5,Energy_d4,Coefficient_of_Variance_d4,Energy_d3,Coefficient_of_Variance_d3,InterQuartile,MedianDeviation,Detection
237915.4249,0.81039,1065.9564,-1.8921,2437.6469,2.9488,19296.2844,-3.9416,35.7254,21.9565,Non-Seizure
424596.0975,8.6385,1052.0687,210.2527,2285.5849,82.4846,16818.1147,19.9292,40.8473,23.9527,Non-Seizure
469174.3096,-0.35636,1016.8227,-68.7855,2082.7763,-28.8504,5035.475,0.89562,34.7571,20.7086,Non-Seizure
222367.1818,0.6011,971.5321,143.7669,2135.6063,-69.7545,7767.6918,-9.2209,31.504,18.4451,Non-Seizure
213375.7841,1.6841,934.299,1.8742,2470.0934,24.3455,15454.963,1.1457,35.5471,21.0995,Non-Seizure
246915.6296,0.89127,894.3879,-33.5238,2193.0578,-17.8061,5910.9946,-10.3102,25.2439,14.998,Non-Seizure
178741.6539,-0.63695,893.3231,196.1926,2084.0275,3.442,7627.4197,0.9944,25.7621,15.9697,Non-Seizure
151282.9759,-3.5738,862.9377,16.4112,2112.088,-4.8263,4862.4462,-2.2683,22.6448,13.1048,Non-Seizure
252930.0838,-2.8127,843.1955,-8.8718,2492.4385,14.3705,6624.5289,-1.4265,29.9326,17.0317,Non-Seizure
245175.2855,0.1545,820.9791,4.5397,2883.0637,73.9167,33928.658,-18.8887,38.8767,21.888,Non-Seizure
449638.4961,1.2689,822.5546,-43.518,3026.2092,1274.7883,20633.1372,-7.4934,36.2011,21.5957,Non-Seizure
208991.4892,-10.3936,843.1172,-6.8479,2198.4908,14.0503,5614.2362,-10.2297,24.7173,15.2697,Non-Seizure
229535.0549,1.4108,901.3403,10.6941,2179.1984,10.6161,8461.8104,15.8715,35.4027,20.2117,Non-Seizure
360514.6553,2.5034,928.2661,-2.2553,2591.6904,-49.6502,24582.1885,-2.1286,47.2857,28.6864,Non-Seizure
389400.3539,-0.14982,934.048,-10.4758,2168.2799,63.1364,12354.8503,-2.8505,30.2723,18.8552,Non-Seizure
174750.7887,-10.0551,947.483,13.7401,1915.3882,30.7475,5212.9886,16.5491,35.1563,19.2889,Non-Seizure
229716.0924,72.4849,1027.3363,-17.9301,1928.9776,23.0736,4447.7636,6.9327,29.6098,17.512,Non-Seizure
251346.1587,-2.9836,1042.4503,-20.9649,2072.5275,-7.3912,6578.6483,-11.1411,28.7519,16.7414,Non-Seizure
414682.2309,-0.53578,1048.9524,-27.5325,2513.9994,-5.0414,20686.4926,-4.3063,43.8371,25.7744,Non-Seizure
460563.2413,-3.0557,1076.4902,-14.9602,2758.3737,30.7338,32933.2606,5.6843,49.7829,28.3006,Non-Seizure
459037.0203,2.4773,1096.4684,-36.332,2356.8264,-6.6809,17189.4688,-1.0635,36.5239,22.7337,Non-Seizure
202953.0851,1.3376,1027.6853,79.8887,1933.7883,-15.0229,4460.45,-7.4293,26.5265,15.223,Non-Seizure
178917.3119,-1.1087,1026.3302,-34.3881,1904.4084,-9.1406,5177.8444,-0.46407,23.8424,14.6291,Non-Seizure
131039.4305,5.679,1062.1432,83.4552,2143.3144,12.9963,7768.7377,-3.6409,26.2037,14.6769,Non-Seizure
185961.8465,3.3297,982.1953,-59.6986,2391.4672,-28.1819,11989.484,-8.9529,28.8114,17.317,Non-Seizure
802343.1864,7.623,974.756,19.0742,2409.6564,92.4819,12640.4293,-2.6937,56.6714,30.8019,Non-Seizure
661168.4534,24.2144,933.9983,9.8795,2407.8668,37.1058,13283.1484,1.7702,34.4259,20.5146,Non-Seizure
1154868.8757,-0.81959,927.5843,-13.9922,2634.8222,15.5173,14838.454,-0.78779,48.169,28.1761,Non-Seizure
279649.4498,0.054017,901.4835,-23.7398,2157.8098,-138.4473,6748.6428,0.7043,38.5709,22.1953,Non-Seizure
127094.1994,4.3134,880.2158,-2.4554,2372.3003,432.8024,11747.496,-2.8213,29.1257,17.4727,Non-Seizure
281260.0739,2.1975,868.5285,-0.80461,2193.0987,55.289,8111.0144,-90.826,37.4497,21.6406,Non-Seizure
274702.3384,2.4595,841.3526,-192.6009,2200.9698,-19.88,4914.4661,-0.9541,29.1342,17.6812,Non-Seizure
230427.4233,-0.061788,849.904,-9.3174,2425.0032,-103.1096,12480.1373,-1.2013,29.4229,17.5551,Non-Seizure
264638.6649,4.1056,867.7328,2.2975,3146.2835,1.7447,31005.836,18.2038,46.8864,26.7204,Non-Seizure
383738.3809,9.8623,852.5233,47.6779,2507.3863,-55.7113,9461.3812,-7.3128,48.3219,27.6958,Non-Seizure
190180.4584,-0.56369,823.2812,11.813,2338.6753,-181.55,4905.0794,-3.5004,26.4331,15.6285,Non-Seizure
225531.9037,-0.21362,823.1031,-11.4206,2192.7338,-27.5873,3603.2304,-3.8737,25.1845,14.436,Non-Seizure
206007.2212,1.2761,861.6806,1.3465,2457.1898,-101.6102,19617.4224,-2.595,33.0753,19.9399,Non-Seizure
262942.661,-0.41353,839.7557,11.9383,2722.5781,25.5171,19145.1192,-4.912,37.4752,22.2002,Non-Seizure
250124.3583,-7.1915,835.3069,9.8341,2315.8832,-0.35915,12642.7704,-17.6796,37.3393,21.9593,Non-Seizure
671022.3499,0.58379,925.6226,-110.9317,2741.517,-5.3001,14005.2789,26.5171,46.6741,28.0958,Seizure
497078.2078,1.0923,964.5103,-4.3803,3197.3466,19.0569,17757.9633,12.0201,51.2353,31.3002,Seizure
523246.1172,2.7799,1354.55,-45.116,3614.7584,319.3852,14631.4222,-0.42816,44.3468,26.4659,Seizure
519775.3055,-6.3296,1229.8823,-25.1242,3679.4544,5.289,13970.2622,1.319,57.8521,33.318,Seizure
2330365.3033,-1.8952,3322.9271,20.3305,7634.9609,74.6845,19491.4887,-3.1223,95.3188,58.3337,Seizure
4705494.959,-2.2591,20241.4723,-5.8794,30646.4798,-31.0801,30443.898,31.7525,125.0645,74.1255,Seizure
3599058.2217,14.7738,36840.2993,-20.8891,57080.5358,-25.742,50537.4912,1.8607,134.0341,78.5874,Seizure
4809381.5499,-1.9145,63105.4586,47.4909,73478.8374,9.8203,69945.9495,-6.4404,137.9753,80.6504,Seizure
3923339.1246,11.3102,31001.4713,-21.5553,45076.052,-28.0739,49696.7459,-0.70937,168.5958,92.6476,Seizure
